ts,px,py,depth_m,X,Y,Z,relX,relY,relZ,started
1755073725.029953,330,237,0.3305000066757202,0.01812782697379589,-0.012311846949160099,0.3305000066757202,1.3710930943489075e-05,-0.005042678210884333,0.0002499818801879883,1
1755073725.0605867,312,242,0.32200002670288086,0.005051646381616592,-0.008489756844937801,0.32200002670288086,-0.01306246966123581,-0.001220588106662035,-0.008249998092651367,1
1755073725.0943718,329,223,0.3307500183582306,0.01742194965481758,-0.022403134033083916,0.3307500183582306,-0.0006921663880348206,-0.01513396529480815,0.0004999935626983643,1
1755073725.127086,333,221,0.33225002884864807,0.02039237692952156,-0.023951547220349312,0.33225002884864807,0.002278260886669159,-0.016682378482073545,0.0020000040531158447,1
1755073725.1616042,336,216,0.3317500054836273,0.02252698317170143,-0.027527092024683952,0.3317500054836273,0.0044128671288490295,-0.020257923286408186,0.0014999806880950928,1
1755073725.1939101,336,214,0.33225002884864807,0.022560935467481613,-0.029015397652983665,0.33225002884864807,0.004446819424629211,-0.0217462289147079,0.0020000040531158447,1
1755073725.2265215,338,213,0.3345000147819519,0.02416921593248844,-0.029940195381641388,0.3345000147819519,0.00605509988963604,-0.02267102664336562,0.004249989986419678,1
1755073725.261176,335,212,0.3345000147819519,0.021985970437526703,-0.03066849894821644,0.3345000147819519,0.003871854394674301,-0.023399330209940672,0.004249989986419678,1
1755073725.2937553,335,211,0.3345000147819519,0.021985970437526703,-0.03139680624008179,0.3345000147819519,0.003871854394674301,-0.02412763750180602,0.004249989986419678,1
1755073725.3266685,334,213,0.3347500264644623,0.021274110302329063,-0.02996257320046425,0.3347500264644623,0.0031599942594766617,-0.022693404462188482,0.004500001668930054,1
1755073725.360599,334,213,0.3345000147819519,0.021258221939206123,-0.029940195381641388,0.3345000147819519,0.0031441058963537216,-0.02267102664336562,0.004249989986419678,1
1755073725.39439,332,214,0.33425000309944153,0.019787922501564026,-0.029190054163336754,0.33425000309944153,0.0016738064587116241,-0.021920885425060987,0.003999978303909302,1
1755073725.4270482,331,217,0.33400002121925354,0.019046463072299957,-0.02698657102882862,0.33400002121925354,0.0009323470294475555,-0.019717402290552855,0.0037499964237213135,1
1755073725.4621289,329,219,0.33375000953674316,0.017579970881342888,-0.025513026863336563,0.33375000953674316,-0.0005341451615095139,-0.018243858125060797,0.0034999847412109375,1
1755073725.4934046,329,220,0.33375000953674316,0.017579970881342888,-0.02478635311126709,0.33375000953674316,-0.0005341451615095139,-0.017517184372991323,0.0034999847412109375,1
1755073725.526647,327,225,0.33375000953674316,0.01612773723900318,-0.02115298993885517,0.33375000953674316,-0.0019863788038492203,-0.013883821200579405,0.0034999847412109375,1
1755073725.5600777,315,233,0.3320000171661377,0.007375458255410194,-0.015259175561368465,0.3320000171661377,-0.010738657787442207,-0.007990006823092699,0.0017499923706054688,1
1755073725.5940177,311,242,0.33525002002716064,0.0045301360078155994,-0.008839101530611515,0.33525002002716064,-0.013583980035036802,-0.0015699327923357487,0.004999995231628418,1
1755073725.6284044,308,243,0.3412500023841858,0.0023839096538722515,-0.008254293352365494,0.3412500023841858,-0.01573020638898015,-0.0009851246140897274,0.010999977588653564,1
1755073725.6606634,298,250,0.3460000157356262,-0.005110592115670443,-0.0030957756098359823,0.3460000157356262,-0.023224708158522844,0.004173393128439784,0.015749990940093994,1
1755073725.6940641,284,254,0.3500000238418579,-0.01583026722073555,-8.334963786182925e-05,0.3500000238418579,-0.03394438326358795,0.007185819100413937,0.019749999046325684,1
1755073725.7268705,272,258,0.3542500138282776,-0.025271100923419,0.00300086778588593,0.3542500138282776,-0.0433852169662714,0.010270036524161696,0.02399998903274536,1
1755073725.7607477,260,260,0.35850000381469727,-0.034933846443891525,0.004597991239279509,0.35850000381469727,-0.05304796248674393,0.011867159977555275,0.02824997901916504,1
1755073725.7931678,248,261,0.36375001072883606,-0.044942062348127365,0.00545731745660305,0.36375001072883606,-0.06305617839097977,0.012726486194878817,0.03349998593330383,1
1755073725.8263452,238,259,0.3687500059604645,-0.053582463413476944,0.0039265756495296955,0.3687500059604645,-0.07169657945632935,0.011195744387805462,0.03849998116493225,1
1755073725.860581,226,254,0.3720000088214874,-0.0637667328119278,-8.858875662554055e-05,0.3720000088214874,-0.0818808488547802,0.007180579981650226,0.0417499840259552,1
1755073725.8932908,221,247,0.37450000643730164,-0.06826914101839066,-0.005796967539936304,0.37450000643730164,-0.08638325706124306,0.0014722011983394623,0.04424998164176941,1
1755073725.9268324,219,237,0.3775000274181366,-0.07045862823724747,-0.014062700793147087,0.3775000274181366,-0.08857274428009987,-0.006793532054871321,0.04725000262260437,1
