ts,px,py,depth_m,X,Y,Z,relX,relY,relZ,started
1754987844.8885572,219,239,0.39500001072883606,-0.07372491806745529,-0.012994549237191677,0.39500001072883606,-0.0009516030550003052,-1.644901931285858e-05,0.0004999935626983643,1
1754987844.9203818,219,239,0.39525002241134644,-0.07377158105373383,-0.013002773746848106,0.39525002241134644,-0.0009982660412788391,-2.4673528969287872e-05,0.0007500052452087402,1
1754987844.953214,219,240,0.39525002241134644,-0.07377158105373383,-0.012142196297645569,0.39525002241134644,-0.0009982660412788391,0.0008359039202332497,0.0007500052452087402,1
1754987844.987797,219,241,0.39525002241134644,-0.07377158105373383,-0.01128162071108818,0.39525002241134644,-0.0009982660412788391,0.001696479506790638,0.0007500052452087402,1
1754987845.0213058,219,241,0.39475002884864807,-0.07367826253175735,-0.011267349123954773,0.39475002884864807,-0.0009049475193023682,0.0017107510939240456,0.000250011682510376,1
1754987845.0532992,218,241,0.39400002360343933,-0.07439547032117844,-0.011245941743254662,0.39400002360343933,-0.0016221553087234497,0.001732158474624157,-0.0004999935626983643,1
1754987845.0853906,218,242,0.39500001072883606,-0.07458429038524628,-0.01041445229202509,0.39500001072883606,-0.0018109753727912903,0.0025636479258537292,0.0004999935626983643,1
1754987845.1174765,217,242,0.3942500054836273,-0.0753004252910614,-0.010394677519798279,0.3942500054836273,-0.002527110278606415,0.0025834226980805397,-0.000250011682510376,1
1754987845.1497338,218,242,0.39475002884864807,-0.07453709095716476,-0.010407861322164536,0.39475002884864807,-0.0017637759447097778,0.002570238895714283,0.000250011682510376,1
1754987845.1816175,217,243,0.3945000171661377,-0.07534817606210709,-0.00954232644289732,0.3945000171661377,-0.0025748610496520996,0.0034357737749814987,0.0,1
1754987845.2135632,217,242,0.39375001192092896,-0.07520492374897003,-0.010381495580077171,0.39375001192092896,-0.002431608736515045,0.002596604637801647,-0.0007500052452087402,1
1754987845.261443,217,243,0.39400002360343933,-0.07525267452001572,-0.009530232287943363,0.39400002360343933,-0.00247935950756073,0.0034478679299354553,-0.0004999935626983643,1
1754987845.2773945,218,244,0.39525002241134644,-0.07463149726390839,-0.008699890226125717,0.39525002241134644,-0.0018581822514533997,0.004278209991753101,0.0007500052452087402,1
1754987845.3252645,217,242,0.3927500247955322,-0.07501393556594849,-0.010355129837989807,0.3927500247955322,-0.0022406205534934998,0.0026229703798890114,-0.0017499923706054688,1
1754987845.3409684,218,243,0.39475002884864807,-0.07453709095716476,-0.009548373520374298,0.39475002884864807,-0.0017637759447097778,0.0034297266975045204,0.000250011682510376,1
1754987845.3875008,217,245,0.39400002360343933,-0.07525267452001572,-0.00781452190130949,0.39400002360343933,-0.00247935950756073,0.005163578316569328,-0.0004999935626983643,1
1754987845.4197752,218,245,0.39475002884864807,-0.07453709095716476,-0.007829396985471249,0.39475002884864807,-0.0017637759447097778,0.00514870323240757,0.000250011682510376,1
1754987845.453341,217,246,0.39350003004074097,-0.07515718042850494,-0.006947839166969061,0.39350003004074097,-0.0023838654160499573,0.006030261050909758,-0.0009999871253967285,1
1754987845.4890811,217,246,0.39475002884864807,-0.07539592683315277,-0.0069699096493422985,0.39475002884864807,-0.0026226118206977844,0.00600819056853652,0.000250011682510376,1
1754987845.525493,217,247,0.39500001072883606,-0.07544367015361786,-0.006114291492849588,0.39500001072883606,-0.0026703551411628723,0.00686380872502923,0.0004999935626983643,1
1754987845.5524094,218,245,0.3957500159740448,-0.0747259110212326,-0.00784923043102026,0.3957500159740448,-0.0019525960087776184,0.005128869786858559,0.0012499988079071045,1
1754987845.587739,217,246,0.39525002241134644,-0.07549142092466354,-0.006978737656027079,0.39525002241134644,-0.002718105912208557,0.00599936256185174,0.0007500052452087402,1
1754987845.6188,217,246,0.39500001072883606,-0.07544367015361786,-0.006974323187023401,0.39500001072883606,-0.0026703551411628723,0.006003777030855417,0.0004999935626983643,1
1754987845.6595364,217,244,0.39350003004074097,-0.07515718042850494,-0.008661371655762196,0.39350003004074097,-0.0023838654160499573,0.004316728562116623,-0.0009999871253967285,1
1754987845.691474,217,247,0.39625000953674316,-0.07568241655826569,-0.006133640184998512,0.39625000953674316,-0.0029091015458106995,0.006844460032880306,0.0017499923706054688,1
