ts,px,py,depth_m,X,Y,Z,relX,relY,relZ,started
1754982819.5067563,306,241,0.32850000262260437,0.0008654508274048567,-0.009376375004649162,0.32850000262260437,-0.0015638666227459908,-0.010807871003635228,-0.01925000548362732,1
1754982819.5361652,307,239,0.327750027179718,0.001576538197696209,-0.01078218687325716,0.327750027179718,-0.0008527792524546385,-0.012213682872243226,-0.019999980926513672,1
1754982819.5682158,308,240,0.32725000381469727,0.002286108210682869,-0.010053216479718685,0.32725000381469727,-0.00014320923946797848,-0.01148471247870475,-0.020500004291534424,1
1754982819.6004722,309,239,0.3252500295639038,0.002979760989546776,-0.010699942708015442,0.3252500295639038,0.0005504435393959284,-0.012131438707001507,-0.02249997854232788,1
1754982819.6323822,310,240,0.3240000009536743,0.0036732133012264967,-0.009953374974429607,0.3240000009536743,0.0012438958510756493,-0.011384870973415673,-0.023750007152557373,1
1754982819.674795,311,240,0.32325002551078796,0.0043679834343492985,-0.00993033591657877,0.32325002551078796,0.001938665984198451,-0.011361831915564835,-0.024499982595443726,1
1754982819.696148,313,240,0.32350000739097595,0.005778995342552662,-0.009938015602529049,0.32350000739097595,0.0033496778924018145,-0.011369511601515114,-0.024250000715255737,1
1754982819.7279675,312,238,0.3225000202655792,0.005059490446001291,-0.011311651207506657,0.3225000202655792,0.002630172995850444,-0.012743147206492722,-0.025249987840652466,1
1754982819.7602751,310,237,0.32225000858306885,0.003653373569250107,-0.012004517018795013,0.32225000858306885,0.0012240561190992594,-0.013436013017781079,-0.025499999523162842,1
1754982819.7925668,311,235,0.32200002670288086,0.004351092502474785,-0.013397383503615856,0.32200002670288086,0.0019217750523239374,-0.014828879502601922,-0.02574998140335083,1
1754982819.8246963,309,235,0.3217500150203705,0.0029476957861334085,-0.013386980630457401,0.3217500150203705,0.0005183783359825611,-0.014818476629443467,-0.025999993085861206,1
1754982819.8730574,309,236,0.32225000858306885,0.0029522764962166548,-0.012706151232123375,0.32225000858306885,0.0005229590460658073,-0.01413764723110944,-0.025499999523162842,1
1754982819.888782,307,235,0.3217500150203705,0.0015476769767701626,-0.013386980630457401,0.3217500150203705,-0.0008816404733806849,-0.014818476629443467,-0.025999993085861206,1
1754982819.9368074,306,234,0.3217500150203705,0.0008476676302962005,-0.014087527059018612,0.3217500150203705,-0.001581649819854647,-0.015519023058004677,-0.025999993085861206,1
1754982819.9998627,304,233,0.32350000739097595,-0.0005553553928621113,-0.01486850343644619,0.32350000739097595,-0.0029846728430129588,-0.016299999435432255,-0.024250000715255737,1
1754982820.0157154,302,231,0.32325002551078796,-0.0019614719785749912,-0.01626463606953621,0.32325002551078796,-0.004390789428725839,-0.017696132068522274,-0.024499982595443726,1
1754982820.043385,301,231,0.32375001907348633,-0.0026688664220273495,-0.01628979481756687,0.32375001907348633,-0.005098183872178197,-0.017721290816552937,-0.02399998903274536,1
1754982820.0704567,300,229,0.32375001907348633,-0.003373227082192898,-0.0176995936781168,0.32375001907348633,-0.005802544532343745,-0.019131089677102864,-0.02399998903274536,1
1754982820.1033928,299,227,0.32325002551078796,-0.0040712906047701836,-0.01907988078892231,0.32325002551078796,-0.006500608054921031,-0.020511376787908375,-0.024499982595443726,1
1754982820.1335108,298,226,0.32375001907348633,-0.0047819484025239944,-0.019814293831586838,0.32375001907348633,-0.007211265852674842,-0.021245789830572903,-0.02399998903274536,1
1754982820.1651597,297,225,0.3242500126361847,-0.005494782235473394,-0.020550882443785667,0.3242500126361847,-0.007924099685624242,-0.021982378442771733,-0.023499995470046997,1
1754982820.2055323,293,220,0.32350000739097595,-0.008297339081764221,-0.024025123566389084,0.32350000739097595,-0.010726656531915069,-0.02545661956537515,-0.024250000715255737,1
1754982820.2337174,291,220,0.32325002551078796,-0.009697473607957363,-0.0240065585821867,0.32325002551078796,-0.01212679105810821,-0.025438054581172764,-0.024499982595443726,1
1754982820.2698257,291,217,0.3230000138282776,-0.00968997273594141,-0.026097791269421577,0.3230000138282776,-0.012119290186092257,-0.027529287268407643,-0.0247499942779541,1
1754982820.2974098,290,217,0.3227500021457672,-0.010384657420217991,-0.026077590882778168,0.3227500021457672,-0.012813974870368838,-0.027509086881764233,-0.025000005960464478,1
1754982820.3291812,289,216,0.3227500021457672,-0.011086842976510525,-0.02678031288087368,0.3227500021457672,-0.013516160426661372,-0.028211808879859746,-0.025000005960464478,1
1754982820.3608396,286,215,0.3227500021457672,-0.013193397782742977,-0.027483036741614342,0.3227500021457672,-0.015622715232893825,-0.028914532740600407,-0.025000005960464478,1
1754982820.3925416,285,215,0.32325002551078796,-0.013917109929025173,-0.027525614947080612,0.32325002551078796,-0.01634642737917602,-0.028957110946066678,-0.024499982595443726,1
1754982820.424734,285,216,0.3230000138282776,-0.013906346634030342,-0.026801059022545815,0.3230000138282776,-0.01633566408418119,-0.02823255502153188,-0.0247499942779541,1
1754982820.4729848,284,217,0.3225000202655792,-0.014586461707949638,-0.026057392358779907,0.3225000202655792,-0.017015779158100486,-0.027488888357765973,-0.025249987840652466,1
1754982820.5053105,283,217,0.3227500021457672,-0.015299951657652855,-0.026077590882778168,0.3227500021457672,-0.017729269107803702,-0.027509086881764233,-0.025000005960464478,1
1754982820.5347009,283,218,0.3225000202655792,-0.015288101509213448,-0.02535521611571312,0.3225000202655792,-0.017717418959364295,-0.026786712114699185,-0.025249987840652466,1
1754982820.569852,283,220,0.32325002551078796,-0.015323655679821968,-0.0240065585821867,0.32325002551078796,-0.017752973129972816,-0.025438054581172764,-0.024499982595443726,1
1754982820.603082,282,220,0.32350000739097595,-0.016039323061704636,-0.024025123566389084,0.32350000739097595,-0.018468640511855483,-0.02545661956537515,-0.024250000715255737,1
1754982820.6309993,279,221,0.32325002551078796,-0.018136747181415558,-0.023302746936678886,0.32325002551078796,-0.020566064631566405,-0.024734242935664952,-0.024499982595443726,1
1754982820.6628387,279,222,0.32500001788139343,-0.018234936520457268,-0.02272128127515316,0.32500001788139343,-0.020664253970608115,-0.024152777274139225,-0.022749990224838257,1
1754982820.6948266,277,222,0.3257500231266022,-0.019694440066814423,-0.02277371473610401,0.3257500231266022,-0.02212375751696527,-0.024205210735090077,-0.021999984979629517,1
1754982820.7266288,274,223,0.3265000283718109,-0.021870814263820648,-0.02211526408791542,0.3265000283718109,-0.024300131713971496,-0.023546760086901486,-0.021249979734420776,1
1754982820.8113573,272,222,0.32750001549720764,-0.023362839594483376,-0.02289605885744095,0.32750001549720764,-0.025792157044634223,-0.024327554856427014,-0.020249992609024048,1
1754982820.8142464,271,222,0.328000009059906,-0.024112112820148468,-0.022931015118956566,0.328000009059906,-0.026541430270299315,-0.02436251111794263,-0.019749999046325684,1
1754982820.862307,269,224,0.328000009059906,-0.025539329275488853,-0.02150270901620388,0.328000009059906,-0.0279686467256397,-0.022934205015189946,-0.019749999046325684,1
1754982820.8784616,268,225,0.3282500207424164,-0.02627294510602951,-0.020804401487112045,0.3282500207424164,-0.028702262556180358,-0.02223589748609811,-0.019499987363815308,1
1754982820.894498,266,226,0.3282500207424164,-0.02770124562084675,-0.020089704543352127,0.3282500207424164,-0.030130563070997596,-0.021521200542338192,-0.019499987363815308,1
1754982820.9263594,266,225,0.3290000259876251,-0.027764540165662766,-0.02085193619132042,0.3290000259876251,-0.030193857615813613,-0.022283432190306485,-0.018749982118606567,1
1754982820.9582725,266,227,0.3290000259876251,-0.027764540165662766,-0.019419275224208832,0.3290000259876251,-0.030193857615813613,-0.020850771223194897,-0.018749982118606567,1
1754982820.9902768,266,226,0.3292500078678131,-0.027785636484622955,-0.020150907337665558,0.3292500078678131,-0.030214953934773803,-0.021582403336651623,-0.01850000023841858,1
1754982821.0384448,266,227,0.3290000259876251,-0.027764540165662766,-0.019419275224208832,0.3290000259876251,-0.030193857615813613,-0.020850771223194897,-0.018749982118606567,1
1754982821.0703146,266,228,0.32850000262260437,-0.027722341939806938,-0.018674518913030624,0.32850000262260437,-0.030151659389957786,-0.02010601491201669,-0.01925000548362732,1
1754982821.1028364,266,228,0.3295000195503235,-0.027806734666228294,-0.018731368705630302,0.3295000195503235,-0.030236052116379142,-0.020162864704616368,-0.018249988555908203,1
1754982821.139149,266,228,0.3292500078678131,-0.027785636484622955,-0.01871715486049652,0.3292500078678131,-0.030214953934773803,-0.020148650859482586,-0.01850000023841858,1
1754982821.1634035,267,229,0.3295000195503235,-0.027089865878224373,-0.018013950437307358,0.3295000195503235,-0.02951918332837522,-0.019445446436293423,-0.018249988555908203,1
1754982821.2115471,266,229,0.32875001430511475,-0.027743441984057426,-0.017972946166992188,0.32875001430511475,-0.030172759434208274,-0.019404442165978253,-0.018999993801116943,1
1754982821.2373745,265,230,0.3290000259876251,-0.028480324894189835,-0.01727028377354145,0.3290000259876251,-0.030909642344340682,-0.018701779772527516,-0.018749982118606567,1
1754982821.2684004,264,230,0.32850000262260437,-0.029151733964681625,-0.017244035378098488,0.32850000262260437,-0.03158105141483247,-0.018675531377084553,-0.01925000548362732,1
1754982821.295205,264,231,0.32875001430511475,-0.029173919931054115,-0.0165413748472929,0.32875001430511475,-0.03160323738120496,-0.017972870846278965,-0.018999993801116943,1
1754982821.329109,263,231,0.3292500078678131,-0.02993461675941944,-0.016566531732678413,0.3292500078678131,-0.03236393420957029,-0.01799802773166448,-0.01850000023841858,1
1754982821.3588822,264,232,0.32875001430511475,-0.029173919931054115,-0.015825588256120682,0.32875001430511475,-0.03160323738120496,-0.017257084255106747,-0.018999993801116943,1
1754982821.3909934,262,233,0.3290000259876251,-0.030627673491835594,-0.015121291391551495,0.3290000259876251,-0.03305699094198644,-0.01655278739053756,-0.018749982118606567,1
1754982821.4227467,262,234,0.3297500014305115,-0.030697491019964218,-0.014437798410654068,0.3297500014305115,-0.033126808470115066,-0.015869294409640133,-0.018000006675720215,1
1754982821.4700632,261,235,0.3292500078678131,-0.03136727213859558,-0.013699031434953213,0.3292500078678131,-0.03379658958874643,-0.015130527433939278,-0.01850000023841858,1
1754982821.501785,260,236,0.3297500014305115,-0.03213231638073921,-0.013001872226595879,0.3297500014305115,-0.03456163383089006,-0.014433368225581944,-0.018000006675720215,1
1754982821.5343258,260,235,0.32875001430511475,-0.032034873962402344,-0.013678228482604027,0.32875001430511475,-0.03446419141255319,-0.015109724481590092,-0.018999993801116943,1
1754982821.5654626,259,235,0.32850000262260437,-0.03272520750761032,-0.013667826540768147,0.32850000262260437,-0.03515452495776117,-0.015099322539754212,-0.01925000548362732,1
1754982821.5972872,258,235,0.3295000195503235,-0.03354170173406601,-0.013709433376789093,0.3295000195503235,-0.03597101918421686,-0.015140929375775158,-0.018249988555908203,1
1754982821.6308885,260,235,0.3297500014305115,-0.03213231638073921,-0.013719834387302399,0.3297500014305115,-0.03456163383089006,-0.015151330386288464,-0.018000006675720215,1
1754982821.6739686,259,234,0.3290000259876251,-0.032775018364191055,-0.014404961839318275,0.3290000259876251,-0.0352043358143419,-0.01583645783830434,-0.018749982118606567,1
1754982821.7007842,258,234,0.33000001311302185,-0.033592596650123596,-0.014448745176196098,0.33000001311302185,-0.036021914100274444,-0.015880241175182164,-0.01774999499320984,1
1754982821.735223,258,234,0.33000001311302185,-0.033592596650123596,-0.014448745176196098,0.33000001311302185,-0.036021914100274444,-0.015880241175182164,-0.01774999499320984,1
1754982821.758362,257,232,0.3295000195503235,-0.03425857052206993,-0.015861691907048225,0.3295000195503235,-0.03668788797222078,-0.01729318790603429,-0.018249988555908203,1
1754982821.8033497,257,231,0.3290000259876251,-0.034206584095954895,-0.016553953289985657,0.3290000259876251,-0.03663590154610574,-0.017985449288971722,-0.018749982118606567,1
1754982821.8284588,257,232,0.33000001311302185,-0.03431055694818497,-0.015885761007666588,0.33000001311302185,-0.036739874398335814,-0.017317257006652653,-0.01774999499320984,1
1754982821.872909,258,233,0.33000001311302185,-0.033592596650123596,-0.015167252160608768,0.33000001311302185,-0.036021914100274444,-0.016598748159594834,-0.01774999499320984,1
1754982821.8909938,258,233,0.3297500014305115,-0.0335671491920948,-0.015155761502683163,0.3297500014305115,-0.03599646664224565,-0.016587257501669228,-0.018000006675720215,1
1754982821.922931,256,234,0.32850000262260437,-0.03486929088830948,-0.014383068308234215,0.32850000262260437,-0.037298608338460326,-0.01581456430722028,-0.01925000548362732,1
1754982822.0020096,257,236,0.3295000195503235,-0.03425857052206993,-0.012992015108466148,0.3295000195503235,-0.03668788797222078,-0.014423511107452214,-0.018249988555908203,1
1754982822.0179648,252,238,0.328000009059906,-0.037670645862817764,-0.011504562571644783,0.328000009059906,-0.04009996331296861,-0.012936058570630848,-0.019749999046325684,1
1754982822.075329,255,239,0.32875001430511475,-0.035611070692539215,-0.010815083980560303,0.32875001430511475,-0.03804038814269006,-0.012246579979546368,-0.018999993801116943,1
1754982822.0814629,255,240,0.3292500078678131,-0.03566523268818855,-0.010114656761288643,0.3292500078678131,-0.0380945501383394,-0.011546152760274708,-0.01850000023841858,1
1754982822.1134472,255,241,0.33000001311302185,-0.03574647381901741,-0.009419189766049385,0.33000001311302185,-0.03817579126916826,-0.01085068576503545,-0.01774999499320984,1
1754982822.156868,249,241,0.32875001430511475,-0.03990250080823898,-0.009383510798215866,0.32875001430511475,-0.04233181825838983,-0.010815006797201931,-0.018999993801116943,1
1754982822.1889014,253,241,0.33100003004074097,-0.03729506582021713,-0.0094477329403162,0.33100003004074097,-0.03972438327036798,-0.010879228939302266,-0.016749978065490723,1
1754982822.2049706,253,241,0.33125001192092896,-0.0373232327401638,-0.00945486780256033,0.33125001192092896,-0.03975255019031465,-0.010886363801546395,-0.016499996185302734,1
1754982822.2290876,252,242,0.33100003004074097,-0.03801519796252251,-0.008727047592401505,0.33100003004074097,-0.040444515412673354,-0.01015854359138757,-0.016749978065490723,1
1754982822.242913,249,242,0.3307500183582306,-0.040145255625247955,-0.008720455691218376,0.3307500183582306,-0.0425745730753988,-0.010151951690204442,-0.0169999897480011,1
