ts,px,py,depth_m,X,Y,Z,relX,relY,relZ,started
1754984824.0337622,389,286,0.35200002789497375,0.06449060887098312,0.024441245943307877,0.35200002789497375,0.0008110851049423218,0.0007832255214452744,0.000250011682510376,1
1754984824.0497463,389,287,0.351250022649765,0.06435320526361465,0.02515394426882267,0.351250022649765,0.0006736814975738525,0.0014959238469600677,-0.0004999935626983643,1
1754984824.0981948,390,288,0.3505000174045563,0.06497835367918015,0.025863375514745712,0.3505000174045563,0.0012988299131393433,0.00220535509288311,-0.0012499988079071045,1
1754984824.1262114,391,289,0.35075002908706665,0.06578779965639114,0.026645511388778687,0.35075002908706665,0.002108275890350342,0.0029874909669160843,-0.0009999871253967285,1
1754984824.1620011,392,289,0.34975001215934753,0.06636115908622742,0.026569541543722153,0.34975001215934753,0.002681635320186615,0.0029115211218595505,-0.0020000040531158447,1
1754984824.1937163,393,289,0.34950003027915955,0.06707411259412766,0.026550551876425743,0.34950003027915955,0.003394588828086853,0.002892531454563141,-0.002249985933303833,1
1754984824.2254794,394,289,0.3490000069141388,0.06773744523525238,0.026512566953897476,0.3490000069141388,0.004057921469211578,0.002854546532034874,-0.002750009298324585,1
1754984824.2561722,395,289,0.34825000166893005,0.06834954023361206,0.02645559050142765,0.34825000166893005,0.0046700164675712585,0.0027975700795650482,-0.003500014543533325,1
1754984824.2879722,396,289,0.3490000069141388,0.06925603747367859,0.026512566953897476,0.3490000069141388,0.005576513707637787,0.002854546532034874,-0.002750009298324585,1
1754984824.3270698,397,288,0.3477500081062317,0.06976456195116043,0.025660451501607895,0.3477500081062317,0.006085038185119629,0.0020024310797452927,-0.0040000081062316895,1
1754984824.3609128,398,286,0.3475000262260437,0.07047044485807419,0.024128785356879234,0.3475000262260437,0.006790921092033386,0.0004707649350166321,-0.004249989986419678,1
1754984824.3830678,398,287,0.3477500081062317,0.07052113860845566,0.024903299286961555,0.3477500081062317,0.006841614842414856,0.0012452788650989532,-0.0040000081062316895,1
1754984824.415054,399,286,0.34700000286102295,0.07112398743629456,0.02409406751394272,0.34700000286102295,0.007444463670253754,0.00043604709208011627,-0.00475001335144043,1
